State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
RAJASTHAN,HANUMANGARH,MOONG WHOLE (GREEN GRAM),"3,600","3,700","5,725",10-09-2025
RAJASTHAN,NADBAI,BAJRA,"2,100","2,100","2,100",10-09-2025
RAJASTHAN,OSIAN MATHANIA,WHEAT,"2,700","2,700","2,800",10-09-2025
RAJASTHAN,SRIKARANPUR,MUSTARD,"6,686","6,686","6,686",10-09-2025
RAJASTHAN,SURATGARH,MUSTARD,"6,536","6,536","6,599",10-09-2025
TAMIL NADU,ANDIPATTI,BANANA,"1,000","1,000","1,000",10-09-2025
TAMIL NADU,TENKASI,PUMPKIN,"1,000","1,000","1,000",10-09-2025
TAMIL NADU,TISAYANVILAI,MINT LEAVES,500,500,500,10-09-2025
TAMIL NADU,ULUNDURPETTAI,URAD (BLACK GRAM),"2,699","5,499","5,999",10-09-2025
TAMIL NADU,VILLUPURAM,URAD (BLACK GRAM),"5,399","5,399","7,171",10-09-2025
TELANGANA,VIKARABAD,AJWAIN,"8,945","10,382","10,581",10-09-2025
TELANGANA,VIKARABAD,REDGRAM-RED,"6,359","6,359","6,359",10-09-2025
UTTAR PRADESH,AMROHA APMC,GREEN CHILLI,"1,300","1,350","1,350",10-09-2025
UTTAR PRADESH,BARABANKI,LADY FINGER,"1,675","1,700","1,700",10-09-2025
UTTAR PRADESH,BAREILLY,POTATO,"1,000","1,000","1,000",10-09-2025
UTTAR PRADESH,GOLAGOKARNATH,CAULIFLOWER,"1,000","1,000","1,000",10-09-2025
UTTAR PRADESH,GOLAGOKARNATH,CABBAGE,"1,000","1,000","1,000",10-09-2025
UTTAR PRADESH,GOLAGOKARNATH,PUMPKIN,801,801,801,10-09-2025
UTTAR PRADESH,GORAKHPUR,COLOCASIA VEGETABLE,720,720,720,10-09-2025
UTTAR PRADESH,HASANPUR APMC,CHILLIES,"2,000","2,000","2,000",10-09-2025
UTTAR PRADESH,HASANPUR APMC,TOMATO,"2,000","2,000","2,000",10-09-2025
UTTAR PRADESH,JALALABAD APMC,COLOCASIA VEGETABLE,"2,000","2,000","2,000",10-09-2025
UTTAR PRADESH,NAUGARH APMC,CAULIFLOWER,"1,580","1,580","1,580",10-09-2025
UTTAR PRADESH,POWAYAN,TOMATO,"2,500","2,500","2,500",10-09-2025
UTTAR PRADESH,PRAYAGRAJ,ONION,"1,160","1,160","1,160",10-09-2025
UTTAR PRADESH,RAE BARELI,WHEAT,"2,450","2,450","2,460",10-09-2025
UTTAR PRADESH,RAE BARELI,PUMPKIN,700,700,700,10-09-2025
UTTAR PRADESH,RASRA APMC,BITTER GOURD,"1,600","1,600","1,600",10-09-2025
UTTAR PRADESH,RASRA APMC,BOTTLE GOURD,"1,600","1,600","1,600",10-09-2025
UTTAR PRADESH,SHAMLI,CUCUMBER,"1,500","1,500","1,500",10-09-2025
